DC94,Douglas DC-9-40,https://en.wikipedia.org//wiki/Douglas_DC-9
DC95,Douglas DC-9-50,https://en.wikipedia.org//wiki/Douglas_DC-9
DH2T,De Havilland Canada DHC-2 Turbo-Beaver,https://en.wikipedia.org//wiki/De_Havilland_Canada_DHC-2_Beaver
DH8A,De Havilland Canada DHC-8-100 Dash 8 / 8Q,https://en.wikipedia.org//wiki/Bombardier_Dash_8
DH8B,De Havilland Canada DHC-8-200 Dash 8 / 8Q,https://en.wikipedia.org//wiki/Bombardier_Dash_8
DH8C,De Havilland Canada DHC-8-300 Dash 8 / 8Q,https://en.wikipedia.org//wiki/Bombardier_Dash_8
DH8D,De Havilland Canada DHC-8-400 Dash 8Q,https://en.wikipedia.org//wiki/Bombardier_Dash_8
DHC4,De Havilland Canada DHC-4 Caribou,https://en.wikipedia.org//wiki/De_Havilland_Canada_DHC-4_Caribou
DHC5,De Havilland Canada DHC-5 Buffalo,https://en.wikipedia.org//wiki/De_Havilland_Canada_DHC-5_Buffalo
DHC6,De Havilland Canada DHC-6 Twin Otter,https://en.wikipedia.org//wiki/De_Havilland_Canada_DHC-6_Twin_Otter
DHC7,De Havilland Canada DHC-7 Dash 7,https://en.wikipedia.org//wiki/De_Havilland_Canada_DHC-7_Dash_7
DOVE,De Havilland DH.104 Dove,https://en.wikipedia.org//wiki/De_Havilland_Dove
E110,Embraer EMB 110 Bandeirante,https://en.wikipedia.org//wiki/Embraer_EMB_110_Bandeirante
E120,Embraer EMB 120 Brasilia,https://en.wikipedia.org//wiki/Embraer_EMB_120_Brasilia
E135,Embraer RJ135,https://en.wikipedia.org//wiki/Embraer_RJ135
E135,Embraer RJ140,https://en.wikipedia.org//wiki/Embraer_ERJ_145_family
E145,Embraer RJ145,https://en.wikipedia.org//wiki/Embraer_RJ145
E170,Embraer 170,https://en.wikipedia.org//wiki/Embraer_170
E190,Embraer 190 / Lineage 1000,https://en.wikipedia.org//wiki/Embraer_190
E195,Embraer 195,https://en.wikipedia.org//wiki/Embraer_195
E290,Embraer E190-E2,https://en.wikipedia.org//wiki/Embraer_E-Jet_E2_family
E295,Embraer E195-E2,https://en.wikipedia.org//wiki/Embraer_E-Jet_E2_family
E35L,Embraer Legacy 600 / Legacy 650,https://en.wikipedia.org//wiki/Embraer_Legacy_600
E50P,Embraer Phenom 100,https://en.wikipedia.org//wiki/Embraer_Phenom_100
E545,Embraer Legacy 450 / Praetor 500,https://en.wikipedia.org//wiki/Embraer_Legacy_450
E550,Embraer Legacy 500 / Praetor 600,https://en.wikipedia.org//wiki/Embraer_Legacy_500
E55P,Embraer Phenom 300,https://en.wikipedia.org//wiki/Embraer_Phenom_300
E75L,Embraer 175 (long wing),https://en.wikipedia.org//wiki/Embraer_E-Jet_family
E75S,Embraer 175 (short wing),https://en.wikipedia.org//wiki/Embraer_E-Jet_family
EA50,Eclipse 500,https://en.wikipedia.org//wiki/Eclipse_500
